model,evil_win_rate,evil_wins,evil_games,good_win_rate,good_wins,good_games,overall_win_rate,overall_wins,overall_games
deepseek-r1:7b,0.818,9,11,0.030,1,33,0.227,10,44
gemma2:9b,1.000,5,5,0.077,3,39,0.182,8,44
gemma3:4b,0.800,8,10,0.088,3,34,0.250,11,44
gpt-oss:20b,1.000,4,4,0.075,3,40,0.159,7,44
llama3.1:8b,0.875,7,8,0.083,3,36,0.227,10,44
mistral-nemo:12b,0.857,6,7,0.054,2,37,0.182,8,44
mistral:7b,0.909,10,11,0.091,3,33,0.295,13,44
phi3.5:3.8b,1.000,8,8,0.083,3,36,0.250,11,44
phi4:14b,0.667,6,9,0.029,1,35,0.159,7,44
qwen2.5:7b,0.875,7,8,0.056,2,36,0.205,9,44
qwen3:8b,0.857,6,7,0.081,3,37,0.205,9,44
